id:ID,name,:LABEL
121,甲苯咪唑 100~200mg，一日两次,用药剂量
122,玻璃体增殖膜,疾病
123,牵引性视网膜脱离,疾病
124,睫状体平坦部玻璃体切除术,治疗方案
125,冷凝或光凝治疗,治疗方案
126,光凝治疗，以杀灭弓蛔虫,治疗方案
127,光凝治疗，但在行此种治疗时应联合糖皮质激素口服治疗,治疗方案
128,弓蛔虫,病因
129,黄斑区,发病部位
130,糖皮质激素口服治疗,用药剂量
131,Vogt-小柳原田病,疾病
132,糖皮质激素滴眼剂点眼治疗,治疗方案
133,免疫抑制剂和中药规范治疗,治疗方案
134,早期,阶段
135,复发性前葡萄膜炎期,阶段
136,大剂量的糖皮质激素治疗，并使用睫状肌麻痹剂预防虹膜后粘连的发生,治疗方案
137,积极使用糖皮质激素以外的免疫抑制剂,治疗方案
138,逐步减量使用糖皮质激素或其他免疫抑制剂,治疗方案
139,长期治疗，不宜迅速停药,治疗方案
140,联合使用糖皮质激素与其他免疫抑制剂,治疗方案
141,初发,阶段
142,复发,阶段
143,葡萄膜,发病部位
144,葡萄膜炎,疾病
145,泼尼松口服,治疗方案
146,每天给予 80~100mg 泼尼松口服,治疗方案
147,每日给予 160mg 泼尼松口服,治疗方案
148,每天给予 100mg 泼尼松,治疗方案
149,每天需要 200mg 或 200mg 以上的剂量,治疗方案
150,1~1.2mg/(kg·d) 泼尼松口服,治疗方案
151,甲基泼尼松龙 200mg 静脉注射，每天一次，连续应用 3 天，以后改为泼尼松口服,治疗方案
152,每天给予甲基泼尼松龙 1000mg 静脉滴注,治疗方案
153,作用较强的糖皮质激素滴眼剂点眼,治疗方案
154,前葡萄膜受累期,阶段
155,自身免疫性,病因类型
156,炎症性,病因类型
157,80~100mg 泼尼松口服,用药剂量
158,160mg 泼尼松口服,用药剂量
159,100mg 泼尼松,用药剂量
160,200mg 或 200mg 以上的剂量,用药剂量
161,甲基泼尼松龙 200mg 静脉注射,用药剂量
162,甲基泼尼松龙 1000mg 静脉滴注,用药剂量
163,复发性肉芽肿性前葡萄膜炎,疾病
164,Bechet病,疾病
165,复发性葡萄膜炎,疾病
166,顽固性葡萄膜炎,疾病
167,初发性葡萄膜炎,疾病
168,复发性肉芽肿性全葡萄膜炎,疾病
169,泼尼松龙 100~200mg 静脉注射，每天一次，在以后的 3~4 周内逐渐减量至 40~60mg/d（泼尼松口服）,治疗方案
170,泼尼松龙减量至 5~10mg/d，维持治疗 4 个月,治疗方案
171,泼尼松龙治疗 1 个月后停药,治疗方案
172,2%后马托品眼膏点眼、隔日或每 3~4 日一次,治疗方案
173,托品酰胺每日点眼一次,治疗方案
174,2%后马托品眼膏点眼，一日1~2次,治疗方案
175,非甾体消炎药滴剂点眼，每日3~6次,治疗方案
176,苯丁酸氮芥 0.05~0.1mg/(kg·d)，治疗时间一般在1年或1年以上,治疗方案
177,环磷酰胺 1~2mg/(kg·d)，治疗 3~5 个月后减量,治疗方案
178,环磷酰胺 2.5mg/(kg·d)，半年后减量,治疗方案
179,环孢素,治疗方案
180,糖皮质激素联合环磷酰胺,治疗方案
181,葡萄膜炎复发,病因
182,前驱症状,病因
183,视网膜脱离,病因
184,听力下降,病因
185,皮肤改变,病因
186,复发性,阶段
187,顽固性,阶段
188,严重活动性,阶段
189,全葡萄膜,发病部位
190,免疫性,病因类型
191,20 多岁男性,适用人群
192,泼尼松龙 100~200mg 静脉注射，每天一次,用药剂量
193,泼尼松龙 40~60mg/d（口服）,用药剂量
194,泼尼松龙 5~10mg/d,用药剂量
195,2%后马托品眼膏,用药剂量
196,托品酰胺,用药剂量
197,非甾体消炎药滴剂，每日3~6次,用药剂量
198,苯丁酸氮芥 0.05~0.1mg/(kg·d),用药剂量
199,环磷酰胺 1~2mg/(kg·d),用药剂量
200,环磷酰胺 2.5mg/(kg·d),用药剂量
201,苯丁酸氮芥,治疗方案
202,环磷酰胺,治疗方案
203,琥珀胆碱,治疗方案
204,FK506,治疗方案
205,中医辨证治疗,治疗方案
206,原有白细胞减少或血小板减少的患者,适用人群
207,有生育要求的患者,适用人群
208,3~5mg/(kg·d)（环孢素）,用药剂量
209,2mg/(kg·d)（环孢素维持剂量）,用药剂量
210,1~2.5mg/(kg·d)（琥珀胆碱）,用药剂量
211,0.1~0.15mg/(kg·d)（FK506）,用药剂量
212,Vogl-小柳原田病,疾病
213,糖皮质激素+中药 泼尼松 1~1.2mg/kg·d，治疗 10~14 天后逐渐减量，维持剂量为 15~20 mg/d，半年后再逐渐减量，中医辨证施治,治疗方案
214,苯丁酸氮芥+中药 苯丁酸氮芥 0.1mg/kg·d，治疗 3~5 个月后逐渐减量，中医辨证施治（注意在辨证基础上加用升高白细胞的药物）,治疗方案
215,苯丁酸氮芥（或环磷酰胺+糖皮质激素）+中药 苯丁酸氮芥 0.05~0.1mg/kg·d（或环磷酰胺 1mg/kg·d，泼尼松 20~30mg/d，治疗 3~5 个月后逐渐减量，中医辨证施治（在辨证施治基础上注意加用升白细胞的药物）,治疗方案
216,环孢素+糖皮质激素+中药 环孢素 3~5mg/kg·d，泼尼松 20~30mg/d，治疗 3~5 个月后逐渐减量，应联合中医辨证施治,治疗方案
217,苯丁酸氮芥+环孢素+糖皮质激素+中药 苯丁酸氮芥 0.05~0.1mg/kg·d，环孢素 2~4 mg/kg·d，泼尼松 20~30mg/d，联合中医辨证施治,治疗方案
218,初发葡萄膜炎,阶段
219,复发性葡萄膜炎、初发葡萄膜炎难治以控制者和初发葡萄膜炎不宜用糖皮质激素治疗者,阶段
220,初发葡萄膜炎未能控制或复发性葡萄膜炎难治苯丁酸氮芥未能控制者,阶段
221,初发葡萄膜炎未能控制者，有生育要求的患者、复发性葡萄膜炎患者,阶段
222,经上述方案治疗后葡萄膜炎仍不能控制的患者,阶段
223,少年儿童,适用人群
224,老年人,适用人群
225,泼尼松 1~1.2mg/kg·d,用药剂量
226,苯丁酸氮芥 0.1mg/kg·d,用药剂量
227,苯丁酸氮芥 0.05~0.1mg/kg·d,用药剂量
228,环磷酰胺 1mg/kg·d,用药剂量
229,泼尼松 20~30mg/d,用药剂量
230,环孢素 3~5mg/kg·d,用药剂量
231,苯丁酸氮芥 0.05~0.1mg/kg·d，环孢素 2~4 mg/kg·d,用药剂量
232,重新加大剂量,治疗方案
233,更换其他免疫抑制剂,治疗方案
234,联合糖皮质激素、睫状肌麻痹剂和非甾体消炎药滴眼剂点眼治疗,治疗方案
235,苯丁酸氮芥 0.1mg/(kg·d)，3~5个月后减量，维持剂量每天2mg，维持3~6个月，联合中医辨证施治,治疗方案
236,苯丁酸氮芥 0.05~0.1mg/(kg·d)，泼尼松 20~30mg/d，治疗3~5个月后减量，治疗时间约1年，联合中医辨证施治,治疗方案
237,环磷酰胺替代苯丁酸氮芥,治疗方案
238,环孢素 3~5mg/(kg·d)，泼尼松 20~30mg/d，治疗3~5个月后调整剂量，联合中医辨证施治,治疗方案
239,减量过快,病因
240,药物不敏感,病因
241,糖皮质激素不敏感,病因
242,未达到或达到维持剂量时复发,阶段
243,维持剂量后复发,阶段
244,眼前段,发病部位
245,初发性,病因类型
246,Vogt-小柳原田病的复发性前葡萄膜炎患者,适用人群
247,初发性葡萄膜炎患者,适用人群
248,不宜使用糖皮质激素的患者,适用人群
249,苯丁酸氮芥 0.1mg/(kg·d),用药剂量
250,苯丁酸氮芥 维持剂量每天2mg,用药剂量
251,环孢素 3~5mg/(kg·d),用药剂量
252,苯丁酸氮芥联合环孢素、糖皮质激素和中药治疗方案,治疗方案
253,复发性前葡萄膜炎患者,适用人群
254,泼尼松 15~20mg/d,用药剂量
255,苯丁酸氮芥 0.05mg/(kg·d),用药剂量
256,环孢素 2~4mg/(kg·d),用药剂量
257,糖皮质激素静脉滴注,治疗方案
258,甲基泼尼松龙 100mg/d,治疗方案
259,甲基泼尼松龙 500mg/d,治疗方案
260,甲基泼尼松龙 1000mg/d,治疗方案
261,泼尼松 80mg/d,治疗方案
262,泼尼松 100mg/d,治疗方案
263,泼尼松 150mg/d,治疗方案
264,泼尼松 200mg/d,治疗方案
265,泼尼松 1-1.2mg/(kg·d),治疗方案
266,治疗应至少持续 1 年以上,治疗方案
267,糖皮质激素治疗，开始剂量为泼尼松 80-100mg/d,治疗方案
268,并发生白内障超声乳化和人工晶状体植入术,治疗方案
269,抗青光眼手术,治疗方案
270,免疫异常,病因
271,复发阶段,阶段
272,视网膜色素上皮,发病部位
273,视乳头,发病部位
274,泼尼松 80-100mg/d,用药剂量
275,糖皮质激素、睫状肌麻痹剂和非甾体消炎药滴眼剂点眼治疗,治疗方案
276,中西医结合治疗,治疗方案
277,并发性白内障,疾病
278,继发性青光眼,疾病
279,白内障超声乳化和人工晶状体植入术,治疗方案
280,囊外摘除术和后房型人工晶状体植入术,治疗方案
281,激光虹膜周边切开术或虹膜周边切除术,治疗方案
282,滤过性手术，并可联合球结膜下注射抗纤维制剂（如 5-氟尿嘧啶、高三尖杉酯碱）,治疗方案
283,泼尼松30~40mg/d口服,治疗方案
284,糖皮质激素（30mg/d）治疗,治疗方案
285,糖皮质激素、睫状肌麻痹剂、非甾体消炎药滴眼剂点眼,治疗方案
286,抗炎药物（糖皮质激素、非甾体抗炎药）和适当局部给予降眼压药物,治疗方案
287,炎症未控制,病因
288,眼,发病部位
289,房水流出道,发病部位
290,小梁网,发病部位
291,虹膜,发病部位
292,房角,发病部位
293,Vogt-小柳原田病患者,适用人群
294,甘露醇 250ml 静脉滴注,治疗方案
295,阿法根点眼一次两次,治疗方案
296,双眼小梁切除术,治疗方案
297,地塞米松 10mg 静脉滴注,治疗方案
298,双眼抗青光眼手术,治疗方案
299,免疫调节剂治疗,治疗方案
300,抗炎药物治疗,治疗方案
301,降眼压药物治疗,治疗方案
302,术后阶段,阶段
303,晚期,阶段
304,前房,发病部位
305,肾小管间质性肾炎,疾病
306,泼尼松 1mg/(kg·d)，治疗时间 3 周至 12 个月,治疗方案
307,地塞米松滴眼剂点眼，每小时一次,治疗方案
308,氟甲氧脱泼尼松,治疗方案
309,timexolone,治疗方案
310,抗青光眼药物点眼治疗,治疗方案
311,2%后马托品眼膏，一日 1 次,治疗方案
312,非甾体消炎药滴眼剂点眼治疗,治疗方案
313,泼尼松 30~40mg/天，早晨顿服，治疗时间不宜过长,治疗方案
314,米丁酸氢芬 0.05~0.1mg/(kg·d),治疗方案
315,氨甲蝶呤 7.5mg~15mg/周,治疗方案
316,硫唑嘌呤 1~2mg/(kg·d),治疗方案
317,肾脏,发病部位
318,泼尼松 1mg/(kg·d),用药剂量
319,泼尼松 30~40mg/天,用药剂量
320,前葡萄膜炎,疾病
321,树枝状角膜炎,疾病
322,地图状角膜炎,疾病
323,基质角膜炎,疾病
324,1% 屈氟尿苷滴眼剂点眼一日 5 次,治疗方案
325,3% 无环鸟苷眼膏点眼一日 3 次,治疗方案
326,0.1% 无环鸟苷滴眼剂点眼一日 6~8 次,治疗方案
327,碘苷滴眼剂,治疗方案
328,0.1% 地塞米松滴眼剂点眼一日 3~10 次,治疗方案
329,1% 泼尼松龙滴眼剂点眼一日 3~10 次,治疗方案
330,2% 后马托品眼膏点眼一日 1-2 次,治疗方案
331,托品酰胺每晚点眼一次或隔日点眼一次,治疗方案
332,0.5% 溴吗心安点眼每日两次,治疗方案
333,尼目克司口服每次25mg，一日3次,治疗方案
334,醋氯醛胶口服每次125-250mg，一日2次,治疗方案
335,无环鸟苷口服400-800mg，一日3-4次,治疗方案
336,无环鸟苷口服800mg，Bid，持续1年,治疗方案
337,清热解表中药,治疗方案
338,祛风清热中药,治疗方案
339,清肝泻火中药,治疗方案
340,滋阴降火中药,治疗方案
341,补脾益气中药,治疗方案
342,益气养阴中药,治疗方案
343,单纯疱疹病毒感染,病因
344,外感风热,病因
345,肝经风热,病因
346,肝火上炎,病因
347,阴虚火旺,病因
348,脾气虚弱,病因
349,阴阳两虚,病因
350,角膜,发病部位
351,单纯疱疹病毒性视网膜炎,疾病
352,单纯疱疹病毒性脑炎,疾病
353,单纯疱疹病毒角膜炎,疾病
354,无环鸟苷治疗,治疗方案
355,阿糖腺苷治疗,治疗方案
356,无环鸟苷 30mg/kg，分三次静脉滴注，间隔时间为8小时，持续治疗10天-4周,治疗方案
357,无环鸟苷 5-10mg/kg，每8小时一次静脉滴注，持续7-10天，随后改为口服,治疗方案
358,阿糖腺苷 15mg/kg·d，在12小时内静脉滴注,治疗方案
359,碘苷治疗,治疗方案
360,干扰素治疗,治疗方案
361,阿糖胞苷治疗,治疗方案
362,转移因子治疗,治疗方案
363,糖皮质激素治疗,治疗方案
364,非甾体消炎药治疗,治疗方案
365,抗凝剂治疗,治疗方案
366,激光治疗,治疗方案
367,视网膜脱离复位手术,治疗方案
368,脑,发病部位
369,皮肤粘膜,发病部位
370,急性后极部多灶性鳞状色素上皮病变,疾病
371,环孢素治疗,治疗方案
372,后极部,发病部位
373,Bechet 病性葡萄膜炎,疾病
374,并发症,疾病
375,药物治疗,治疗方案
376,手术治疗,治疗方案
377,Bechet 病,病因
378,Behcet病性葡萄膜炎,疾病
379,1%~2%阿托品眼膏,治疗方案
380,2%后马托品眼膏或滴眼剂,治疗方案
381,托品酸眼点,治疗方案
382,严重,阶段
383,恢复期,阶段
384,0.1%地塞米松滴眼剂点眼，每 15 分钟-1小时点眼 1 次,治疗方案
385,短期内大量糖皮质激素全身治疗，通常给予泼尼松 1~1.2mg/(kg·d)，口服，5~7 天后即减量，每周减量 5~10mg,治疗方案
386,联合小剂量泼尼松口服治疗，一般用量为每日 15~20mg,治疗方案
387,前房纤维素性渗出,病因
388,积脓,病因
389,视网膜炎,病因
390,视网膜血管炎,病因
391,视神经炎,病因
392,急性炎症,阶段
393,严重视功能损害,阶段
394,后段,发病部位
395,泼尼松 1~1.2mg/(kg·d)，口服，5~7 天后即减量，每周减量 5~10mg,用药剂量
396,每日 15~20mg,用药剂量
397,苯丁酸氮芥 2mg/d（维持剂量）,治疗方案
398,前房积脓,病因
399,葡萄膜炎反复频繁,病因
400,眼外病变,病因
401,发病早期,阶段
402,口腔,发病部位
403,生殖器,发病部位
404,关节,发病部位
405,中枢神经系统,发病部位
406,儿童,适用人群
407,男性,适用人群
408,女性,适用人群
409,0.1mg/(kg·d),用药剂量
410,2mg/d,用药剂量
411,Behcet 病性葡萄膜炎,疾病
412,环磷酰胺 2~3mg/(kg·d)，口服或静脉注射,治疗方案
413,环磷酰胺 750~1000mg/平方米体表面积，每 4 周冲击治疗 1 次,治疗方案
414,环磷酰胺 50mg，每日口服维持治疗,治疗方案
415,顽固性 Behcet 病,病因
416,严重血管炎阶段,阶段
417,葡萄膜炎控制阶段,阶段
418,Behcet 病患者,适用人群
419,单独使用环孢素,治疗方案
420,环孢素联合糖皮质激素口服,治疗方案
421,环孢素与其他免疫抑制剂联合应用,治疗方案
422,环孢素联合中药治疗,治疗方案
423,低剂量环孢素,用药剂量
424,大剂量环孢素,用药剂量
425,环孢素 4～5mg/(kg·d)，分早餐前和晚餐前两次服用,治疗方案
426,环孢素 2mg/(kg·d) 维持剂量,治疗方案
427,治疗 1～2 个月后,阶段
428,治疗 3～5 个月后,阶段
429,原有白细胞减少的患者,适用人群
430,使用其他免疫抑制剂无效的患者,适用人群
431,4～5mg/(kg·d),用药剂量
432,2mg/(kg·d),用药剂量
433,Behect 病,疾病
434,类风湿性关节炎,疾病
435,幼年型多关节炎,疾病
436,血栓性静脉炎,疾病
437,α-干扰素,治疗方案
438,抗肿瘤坏死因子抗体或可溶性肿瘤坏死因子受体,治疗方案
439,Ezaneept（Enbrel）治疗（25mg 皮下注射，每周两次）,治疗方案
440,Infliximab（Remicade）,治疗方案
441,疏哇哆呤,治疗方案
442,酚胶咪啶酮,治疗方案
443,纤溶剂,治疗方案
444,抗凝剂及抗花生四烯酸代谢及血小板聚集的药物,治疗方案
445,锌剂,治疗方案
446,转移因子,治疗方案
447,左旋咪唑,治疗方案
448,抗生素,治疗方案
449,OKT3,治疗方案
450,神经系统,发病部位
451,25mg 皮下注射，每周两次,用药剂量
452,Behect 病性葡萄膜炎,疾病
453,糖皮质激素滴眼剂、睫状肌麻痹剂、非甾体消炎药滴眼剂、中医辨证施治,治疗方案
454,苯丁酸氮芥、中西医证施治、滴眼制剂点眼,治疗方案
455,苯丁酸氮芥、糖皮质激素、滴眼制剂点眼,治疗方案
456,环孢素、糖皮质激素、滴眼制剂点眼,治疗方案
457,苯丁酸氮芥（或环磷酰胺）、环孢素、糖皮质激素、滴眼制剂点眼,治疗方案
458,苯丁酸氮芥联合糖皮质激素和秋水仙碱；苯丁酸氮芥联合糖皮质激素和左旋咪唑；苯丁酸氮芥联合糖皮质激素和 FK506；苯丁酸氮芥联合硫磺哆呤和糖皮质激素；环磷酰胺联合糖皮质激素和环孢素；环磷酰胺联合糖皮质激素和 FK506；环磷酰胺联合糖皮质激素和秋水仙碱；糖皮质激素联合 α-干扰素,治疗方案
459,仅有限前段受累,阶段
460,视网膜炎、视网膜血管炎、全葡萄膜炎、反复发生的前房积脓,阶段
461,方案 II 治疗无效,阶段
462,方案 III 治疗无效或有强烈生育要求,阶段
463,方案 IV 治疗无效,阶段
464,上述各种方案治疗无效,阶段
465,体质强壮者,适用人群
466,体质赢弱者,适用人群
467,一般用量,用药剂量
468,Behect病性葡萄膜炎,疾病
469,糖皮质激素滴眼点眼,治疗方案
470,睫状肌麻痹剂点眼,治疗方案
471,非甾体消炎药滴眼点眼,治疗方案
472,中医辨证施治,治疗方案
473,苯丁酸氮芥 0.1mg/(kg·d) 口服，治疗 4-6 个月后逐渐减少剂量至每日 2mg，维持治疗通常在半年以上,治疗方案
474,苯丁酸氮芥联合糖皮质激素,治疗方案
475,环孢素 3~5mg/(kg·d) 口服，泼尼松 0.3~0.5mg/(kg·d) 口服，并联合中医辨证施治和滴眼剂,治疗方案
476,苯丁酸氮芥（或环磷酰胺）联合环孢素和糖皮质激素,治疗方案
477,苯丁酸氮芥联合糖皮质激素和秋水仙碱,治疗方案
478,苯丁酸氮芥联合糖皮质激素和硫唑嘌呤,治疗方案
479,苯丁酸氮芥联合糖皮质激素和 FK506,治疗方案
480,苯丁酸氮芥联合硫唑嘌呤和糖皮质激素,治疗方案
481,环磷酰胺联合糖皮质激素和环孢素,治疗方案
482,环磷酰胺联合糖皮质激素和 FK506,治疗方案
483,环磷酰胺联合糖皮质激素和秋水仙碱,治疗方案
484,糖皮质激素联合 α-干扰素,治疗方案
485,眼后段受累,阶段
486,治疗无效,阶段
487,多次治疗无效,阶段
488,Behect病性葡萄膜炎患者,适用人群
489,有强烈生育要求的患者,适用人群
490,每日 2mg,用药剂量
491,苯丁酸氮芥 2~5mg/(kg·d),用药剂量
492,泼尼松 0.3~0.5mg/(kg·d),用药剂量
493,环磷酰胺每天 50~100 mg,用药剂量
494,Behçet病性葡萄膜炎,疾病
495,环孢素联合糖皮质激素,治疗方案
496,秋水仙碱 1.1mg,治疗方案
497,局部使用糖皮质激素,治疗方案
498,环孢素治疗 1~4 年,治疗方案
499,秋水仙碱或其他免疫抑制剂,治疗方案
500,复发期,阶段
501,难治性,阶段
502,全身,发病部位
503,身体强壮患者,适用人群
504,身体虚弱患者,适用人群
505,1.1mg,用药剂量
506,每公斤体重计算,用药剂量
507,苯丁酸氮芥口服治疗,治疗方案
508,氨甲蝶呤,治疗方案
509,硫唑嘌呤,治疗方案
510,秋水仙碱,治疗方案
511,环孢素口服治疗 5mg/(kg·d),治疗方案
512,环孢素联合糖皮质激素和中药治疗,治疗方案
513,中药,治疗方案
514,20岁左右女性,适用人群
515,40岁左右女性,适用人群
516,5mg/(kg·d),用药剂量
517,"首先控制葡萄膜炎，按前述的治疗方案治疗 1 年后,患者的炎症至少半年以上不再复发时始考虑行手术治疗",治疗方案
518,使用免疫抑制剂完全控制炎症后再行玻璃体切除术,治疗方案
519,术前和术后使用有效的免疫抑制剂和抗炎剂,治疗方案
520,增殖性玻璃体视网膜病变,阶段
521,视网膜新生血管,疾病
522,视网膜毛细血管无灌注区,疾病
523,局限性视网膜光凝术,治疗方案
524,全视网膜光凝术,治疗方案
525,氩绿激光（波长 514nm）,治疗方案
526,氩红激光（波长 647nm）,治疗方案
527,全身免疫抑制剂治疗,治疗方案
528,血栓形成,病因
529,缺血性视网膜病变,病因
530,炎症静止期,阶段
531,全身性病变,疾病
532,结膜炎,疾病
533,表层巩膜炎,疾病
534,Wegener 肉芽肿,疾病
535,眼部病变,疾病
536,眼眶病变,疾病
537,巩膜炎,疾病
538,周边溃疡性角膜炎,疾病
539,坏死性巩膜炎,疾病
540,糖皮质激素联合氢氯类药物（环磷酰胺或苯丁酸氢氯）,治疗方案
541,硫唑嘌呤、氨甲蝶呤、环孢素,治疗方案
542,静脉注射免疫球蛋白,治疗方案
543,糖皮质激素滴眼剂点眼,治疗方案
544,全身应用免疫抑制剂，氢氯类药物联合糖皮质激素,治疗方案
545,手术减压和引流,治疗方案
546,手术治疗以覆盖变薄的巩膜,治疗方案
547,对环磷酰胺不能耐受,病因
548,疾病控制 1 年后,阶段
549,严重阶段,阶段
550,眼眶,发病部位
551,巩膜,发病部位
552,免疫相关性,病因类型
553,糖皮质激素最初所用剂量为 1mg/(kg·d),用药剂量
554,环磷酰胺的初始剂量为 2mg/(kg·d),用药剂量
555,大量长期的抗病毒药物治疗,治疗方案
556,不使用抗病毒药物治疗,治疗方案
557,抗病毒药物联合糖皮质激素治疗,治疗方案
558,糖皮质激素和睫状肌麻痹剂点眼治疗,治疗方案
559,配合西药治疗,治疗方案
560,巨细胞病毒感染,病因
561,麻疹病毒感染,病因
562,风疹病毒感染,病因
563,流感病毒感染,病因
564,立夫特山热病毒感染,病因
565,带状疱疹病毒感染,病因
566,口服糖皮质激素 1～1.2mg/(kg·d),治疗方案
567,后 Tenon 腹下注射糖皮质激素（适用于单眼受累者）,治疗方案
568,其他免疫抑制剂治疗,治疗方案
569,麦考酚酯酸,治疗方案
570,炎症,病因
571,单眼受累者,适用人群
572,糖皮质激素无效者,适用人群
573,出现严重副作用的患者,适用人群
574,1～1.2mg/(kg·d),用药剂量
575,视网膜下新生血管膜,疾病
576,光动力学疗法治疗,治疗方案
577,手术以剥离新生血管膜,治疗方案
578,黄斑中心凹,发病部位
579,黄斑中心凹旁,发病部位
580,EB病毒所致葡萄膜炎,疾病
581,一般不需要治疗,治疗方案
